制度B_加入者,,,出力期間：,1984年４月から2015年11月まで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加入者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,診療,総人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,年月,,被用者保険計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国民健康保険計,,,,,,,,,,,,,,,,,,,,,,,,後期高齢者計,,,,,,,,,,,,
,,,,,,,,,,,,,協会一般計,,,,,,,,,,第３条第２項計,,,,,,,,,,船員保険計,,,,,,,,,,共済組合計,,,,,,,,,,健保組合計,,,,,,,,,,,市町村計,,,,,,,,,,,,,,,,国保組合計,,,,,,,,,,被用者保険計,,,国民健康保険計,,,,,,
,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,,一般計,,,,,,,退職者計,,,,,,,,,,,,,,,,,,,,,,市町村計,,,国保組合計,,
,,,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,,70歳未満計,,,70歳以上,,,(2008年４月以降,70歳未満計,,,,70歳以上,,,,70歳未満計,,,70歳以上,,,,一般,現役並み,,一般,現役並み,,,一般,現役並み,,一般,現役並み
,,,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,,,,,75歳未満計,一般,現役並み,は65歳未満),,被保険者,家族,家族,75歳未満計,一般,現役並み,,,,,75歳未満計,一般,現役並み,,,所得者,,,所得者,,,,所得者,,,所得者
,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,,（再掲）,（再掲）,,,所得者,,,（70歳未満）,（未就学者を,（未就学者）,,,所得者,,,（再掲）,（再掲）,,,所得者,,,,,,,,,,,,,
,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,,未就学者,65歳以上,,,,,,,除く70歳未満）,,,,,,,未就学者,65歳以上,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,,
1984,198404,"119,869,156 ","71,922,000 ","71,922,000 ","33,338,000 ",,"38,584,000 ",,,,,,"30,889,470 ","30,889,470 ","15,229,128 ",,"15,660,342 ",,,,,,"359,854 ","359,854 ","215,324 ",,"144,530 ",,,,,,"602,375 ","602,375 ","200,772 ",,"401,603 ",,,,,,"12,012,641 ","12,012,641 ","5,261,482 ",,"6,751,159 ",,,,,,"28,055,653 ","28,055,653 ","12,429,503 ",,"15,626,150 ",,,,,,"39,872,295 ","36,645,263 ","36,645,263 ","36,645,263 ",,,,,,,,,,,,,,"3,227,032 ","3,227,032 ",,,,,,"7,723,290 ",,,,,,,,,,,,
,198405,"119,916,226 ","72,061,000 ","72,061,000 ","33,393,000 ",,"38,668,000 ",,,,,,"31,032,767 ","31,032,767 ","15,284,512 ",,"15,748,255 ",,,,,,"359,736 ","359,736 ","214,980 ",,"144,756 ",,,,,,"610,903 ","610,903 ","203,290 ",,"407,613 ",,,,,,"12,009,391 ","12,009,391 ","5,259,328 ",,"6,750,063 ",,,,,,"28,048,565 ","28,048,565 ","12,430,541 ",,"15,618,024 ",,,,,,"39,822,617 ","36,577,896 ","36,577,896 ","36,577,896 ",,,,,,,,,,,,,,"3,244,721 ","3,244,721 ",,,,,,"7,741,325 ",,,,,,,,,,,,
,198406,"120,020,500 ","72,166,000 ","72,166,000 ","33,413,000 ",,"38,753,000 ",,,,,,"31,111,542 ","31,111,542 ","15,308,334 ",,"15,803,208 ",,,,,,"358,402 ","358,402 ","213,753 ",,"144,649 ",,,,,,"599,315 ","599,315 ","199,479 ",,"399,836 ",,,,,,"12,005,933 ","12,005,933 ","5,257,169 ",,"6,748,764 ",,,,,,"28,091,505 ","28,091,505 ","12,434,372 ",,"15,657,133 ",,,,,,"39,799,943 ","36,537,001 ","36,537,001 ","36,537,001 ",,,,,,,,,,,,,,"3,262,942 ","3,262,942 ",,,,,,"7,762,983 ",,,,,,,,,,,,
,198407,"120,082,997 ","72,190,000 ","72,190,000 ","33,390,000 ",,"38,800,000 ",,,,,,"31,103,407 ","31,103,407 ","15,290,687 ",,"15,812,720 ",,,,,,"359,728 ","359,728 ","214,249 ",,"145,479 ",,,,,,"596,082 ","596,082 ","198,369 ",,"397,713 ",,,,,,"12,002,079 ","12,002,079 ","5,254,998 ",,"6,747,081 ",,,,,,"28,129,416 ","28,129,416 ","12,431,616 ",,"15,697,800 ",,,,,,"39,798,447 ","36,525,308 ","36,525,308 ","36,525,308 ",,,,,,,,,,,,,,"3,273,139 ","3,273,139 ",,,,,,"7,782,046 ",,,,,,,,,,,,
,198408,"120,104,139 ","72,087,000 ","72,087,000 ","33,295,000 ",,"38,792,000 ",,,,,,"31,028,169 ","31,028,169 ","15,241,120 ",,"15,787,049 ",,,,,,"358,138 ","358,138 ","212,875 ",,"145,263 ",,,,,,"599,344 ","599,344 ","199,244 ",,"400,100 ",,,,,,"11,998,600 ","11,998,600 ","5,252,838 ",,"6,745,762 ",,,,,,"28,102,879 ","28,102,879 ","12,388,652 ",,"15,714,227 ",,,,,,"39,810,653 ","36,534,021 ","36,534,021 ","36,534,021 ",,,,,,,,,,,,,,"3,276,632 ","3,276,632 ",,,,,,"7,801,873 ",,,,,,,,,,,,
,198409,"120,220,237 ","72,079,000 ","72,079,000 ","33,250,000 ",,"38,829,000 ",,,,,,"31,008,984 ","31,008,984 ","15,218,312 ",,"15,790,672 ",,,,,,"356,959 ","356,959 ","211,889 ",,"145,070 ",,,,,,"604,895 ","604,895 ","200,838 ",,"404,057 ",,,,,,"11,994,519 ","11,994,519 ","5,250,661 ",,"6,743,858 ",,,,,,"28,114,688 ","28,114,688 ","12,368,587 ",,"15,746,101 ",,,,,,"39,832,460 ","36,546,814 ","36,546,814 ","36,546,814 ",,,,,,,,,,,,,,"3,285,646 ","3,285,646 ",,,,,,"7,827,169 ",,,,,,,,,,,,
,198410,"120,305,146 ","72,128,000 ","72,128,000 ","33,238,000 ",,"38,890,000 ",,,,,,"31,034,291 ","31,034,291 ","15,216,692 ",,"15,817,599 ",,,,,,"354,608 ","354,608 ","211,564 ",,"143,044 ",,,,,,"600,278 ","600,278 ","199,231 ",,"401,047 ",,,,,,"11,990,376 ","11,990,376 ","5,248,483 ",,"6,741,893 ",,,,,,"28,147,908 ","28,147,908 ","12,361,564 ",,"15,786,344 ",,,,,,"39,835,492 ","36,543,761 ","34,046,135 ","34,046,135 ",,,,,,"2,497,626 ","2,497,626 ","1,677,130 ","820,496 ",,,,,"3,291,731 ","3,291,731 ",,,,,,"7,854,673 ",,,,,,,,,,,,
